rank	left	right	merged
0	▁	t	▁t
1	t	h	th
2	a	n	an
3	h	e	he
4	▁	a	▁a
5	i	n	in
6	n	d	nd
7	e	r	er
8	o	n	on
9	r	e	re
10	▁t	he	▁the
11	▁	o	▁o
12	s	t	st
13	a	l	al
14	t	i	ti
15	e	n	en
16	▁	s	▁s
17	e	d	ed
18	▁	c	▁c
19	a	t	at
20	an	d	and
21	▁	an	▁an
22	▁	I	▁I
23	a	r	ar
24	▁	w	▁w
25	▁o	f	▁of
26	▁	in	▁in
27	o	r	or
28	▁	b	▁b
29	I	nd	Ind
30	▁	ಭಾ	▁ಭಾ
31	▁	and	▁and
32	ರ	ತ	ರತ
33	▁	p	▁p
34	▁I	nd	▁Ind
35	e	s	es
36	▁	f	▁f
37	▁	m	▁m
38	▁	1	▁1
39	nd	i	ndi
40	▁	భా	▁భా
41	భా	ర	భార
42	▁	అ	▁అ
43	▁ಭಾ	ರತ	▁ಭಾರತ
44	▁	ప్ర	▁ప్ర
45	ది	.	ది.
46	ర	త	రత
47	0	0	00
48	దే	శం	దేశం
49	▁	ప	▁ప
50	▁Ind	i	▁Indi
51	i	s	is
52	in	g	ing
53	i	c	ic
54	a	s	as
55	i	a	ia
56	i	t	it
57	l	i	li
58	▁	l	▁l
59	ti	on	tion
60	▁	ಅ	▁ಅ
61	▁	ಮ	▁ಮ
62	▁ಭಾರತ	ದ	▁ಭಾರತದ
63	ದ	ಲ್ಲಿ	ದಲ್ಲಿ
64	▁	(	▁(
65	ಗ	ಳು	ಗಳು
66	▁	ಆ	▁ಆ
67	▁	ಸಾ	▁ಸಾ
68	ದೆ	.	ದೆ.
69	▁	2	▁2
70	▁	e	▁e
71	en	t	ent
72	o	m	om
73	▁	d	▁d
74	r	o	ro
75	o	u	ou
76	▁Indi	a	▁India
77	▁భా	రత	▁భారత
78	u	r	ur
79	e	c	ec
80	▁	ఉ	▁ఉ
81	▁	మ	▁మ
82	లు	,	లు,
83	▁	ఆ	▁ఆ
84	▁	వ	▁వ
85	▁	సం	▁సం
86	▁	రా	▁రా
87	తీ	య	తీయ
88	▁	ఇ	▁ఇ
89	▁	స	▁స
90	ಜ	ನ	ಜನ
91	▁	ಜ	▁ಜ
92	▁	ಪ	▁ಪ
93	▁	ಪ್ರ	▁ಪ್ರ
94	▁	ವ	▁ವ
95	▁ಮ	ತ್ತು	▁ಮತ್ತು
96	ದೇ	ಶ	ದೇಶ
97	▁	ಪಾ	▁ಪಾ
98	ಗ	ಳ	ಗಳ
99	▁	ಸಂ	▁ಸಂ
100	▁t	o	▁to
101	l	y	ly
102	▁	h	▁h
103	▁	T	▁T
104	▁1	9	▁19
105	▁	re	▁re
106	▁	n	▁n
107	▁	g	▁g
108	r	i	ri
109	u	l	ul
110	▁	క	▁క
111	▁	వి	▁వి
112	▁	పా	▁పా
113	▁భారత	దేశం	▁భారతదేశం
114	యి	.	యి.
115	▁	జ	▁జ
116	▁	ఎ	▁ఎ
117	▁భా	ర	▁భార
118	▁	త	▁త
119	▁	మా	▁మా
120	▁	ಜನ	▁ಜನ
121	▁	ಹೆ	▁ಹೆ
122	0	1	01
123	ವಾ	ಗಿ	ವಾಗಿ
124	▁	ಕೋ	▁ಕೋ
125	▁	೧	▁೧
126	▁2	0	▁20
127	ಕೋ	ಟಿ	ಕೋಟಿ
128	ತ	ರ	ತರ
129	▁	ಉ	▁ಉ
130	▁	A	▁A
131	r	a	ra
132	v	er	ver
133	▁	C	▁C
134	a	d	ad
135	▁T	he	▁The
136	l	e	le
137	▁	B	▁B
138	i	l	il
139	a	tion	ation
140	▁	జా	▁జా
141	దే	శా	దేశా
142	▁	ఉం	▁ఉం
143	▁	కా	▁కా
144	▁	కూ	▁కూ
145	▁	దే	▁దే
146	▁	సా	▁సా
147	▁	దేశం	▁దేశం
148	▁	ర	▁ర
149	దే	శ	దేశ
150	▁ಜನ	ಸಂ	▁ಜನಸಂ
151	▁	ರಾ	▁ರಾ
152	ಸ್ತಾ	ನ	ಸ್ತಾನ
153	▁	ಈ	▁ಈ
154	▁	ರ	▁ರ
155	▁2	01	▁201
156	▁	ಇ	▁ಇ
157	▁	ನ	▁ನ
158	▁ಪಾ	ಕಿ	▁ಪಾಕಿ
159	▁ಕೋ	ಟಿ	▁ಕೋಟಿ
160	▁	S	▁S
161	v	e	ve
162	▁	is	▁is
163	s	,	s,
164	▁b	y	▁by
165	c	e	ce
166	a	m	am
167	o	l	ol
168	▁Indi	an	▁Indian
169	i	st	ist
