id	token	visible	frequency_full	is_special	length_chars
0	<pad>	<pad>	0	True	5
1	<unk>	<unk>	0	True	5
2	<bos>	<bos>	0	True	5
3	<eos>	<eos>	0	True	5
4	"	"	11	False	1
5	$	$	0	False	1
6	%	%	25	False	1
7	&	&	1	False	1
8	'	'	2	False	1
9	(	(	0	False	1
10	)	)	53	False	1
11	+	+	0	False	1
12	,	,	423	False	1
13	-	-	75	False	1
14	.	.	148	False	1
15	/	/	5	False	1
16	0	0	8	False	1
17	1	1	9	False	1
18	2	2	7	False	1
19	3	3	11	False	1
20	4	4	13	False	1
21	5	5	6	False	1
22	6	6	10	False	1
23	7	7	7	False	1
24	8	8	9	False	1
25	9	9	9	False	1
26	:	:	33	False	1
27	;	;	55	False	1
28	=	=	0	False	1
29	A	A	1	False	1
30	B	B	0	False	1
31	C	C	4	False	1
32	D	D	0	False	1
33	E	E	5	False	1
34	F	F	0	False	1
35	G	G	0	False	1
36	H	H	0	False	1
37	I	I	2	False	1
38	J	J	0	False	1
39	K	K	1	False	1
40	L	L	0	False	1
41	M	M	2	False	1
42	N	N	0	False	1
43	O	O	0	False	1
44	P	P	1	False	1
45	R	R	2	False	1
46	S	S	3	False	1
47	T	T	3	False	1
48	U	U	0	False	1
49	V	V	0	False	1
50	W	W	1	False	1
51	Y	Y	0	False	1
52	Z	Z	1	False	1
53	[	[	0	False	1
54	]	]	0	False	1
55	a	a	17	False	1
56	b	b	0	False	1
57	c	c	0	False	1
58	d	d	2	False	1
59	e	e	11	False	1
60	f	f	0	False	1
61	g	g	2	False	1
62	h	h	6	False	1
63	i	i	6	False	1
64	j	j	0	False	1
65	k	k	2	False	1
66	l	l	4	False	1
67	m	m	5	False	1
68	n	n	5	False	1
69	o	o	4	False	1
70	p	p	1	False	1
71	q	q	0	False	1
72	r	r	0	False	1
73	s	s	31	False	1
74	t	t	7	False	1
75	u	u	1	False	1
76	v	v	0	False	1
77	w	w	2	False	1
78	x	x	0	False	1
79	y	y	22	False	1
80	z	z	1	False	1
81	|	|	2	False	1
82	°	°	1	False	1
83	Ö	Ö	0	False	1
84	á	á	0	False	1
85	â	â	0	False	1
86	í	í	0	False	1
87	ā	ā	0	False	1
88	ī	ī	0	False	1
89	Ś	Ś	0	False	1
90	ū	ū	0	False	1
91	ə	ə	0	False	1
92	ɦ	ɦ	0	False	1
93	ɪ	ɪ	0	False	1
94	ɾ	ɾ	0	False	1
95	ʊ	ʊ	0	False	1
96	ʱ	ʱ	0	False	1
97	ˈ	ˈ	0	False	1
98	ː	ː	0	False	1
99	ί	ί	0	False	1
100	α	α	0	False	1
101	δ	δ	0	False	1
102	ν	ν	0	False	1
103	ς	ς	0	False	1
104	ό	ό	0	False	1
105	अ	अ	3	False	1
106	अं	अं	0	False	2
107	आ	आ	13	False	1
108	आं	आं	7	False	2
109	इ	इ	13	False	1
110	इं	इं	1	False	2
111	इ़	इ़	1	False	2
112	ई	ई	56	False	1
113	ईं	ईं	1	False	2
114	उ	उ	2	False	1
115	उं	उं	1	False	2
116	ऊ	ऊ	7	False	1
117	ऊँ	ऊँ	7	False	2
118	ऊं	ऊं	1	False	2
119	ऋ	ऋ	0	False	1
120	ए	ए	35	False	1
121	एँ	एँ	9	False	2
122	एं	एं	8	False	2
123	ऐ	ऐ	5	False	1
124	ऐं	ऐं	1	False	2
125	ऑ	ऑ	7	False	1
126	ओ	ओ	4	False	1
127	ओं	ओं	20	False	2
128	औ	औ	0	False	1
129	क	क	119	False	1
130	कं	कं	6	False	2
131	का	का	70	False	2
132	कां	कां	3	False	3
133	कि	कि	13	False	2
134	किं	किं	1	False	3
135	की	की	38	False	2
136	कु	कु	3	False	2
137	कू	कू	2	False	2
138	कृ	कृ	11	False	2
139	के	के	25	False	2
140	कें	कें	2	False	3
141	कै	कै	1	False	2
142	कॉ	कॉ	2	False	2
143	कॉं	कॉं	0	False	3
144	को	को	2	False	2
145	कों	कों	9	False	3
146	क्	क्	1	False	2
147	क्के	क्के	1	False	4
148	क्क्न	क्क्न	1	False	5
149	क्ट	क्ट	1	False	3
150	क्टू	क्टू	3	False	4
151	क्त	क्त	7	False	3
152	क्ता	क्ता	1	False	4
153	क्ति	क्ति	8	False	4
154	क्यो	क्यो	1	False	4
155	क्यों	क्यों	4	False	5
156	क्र	क्र	9	False	3
157	क्रां	क्रां	2	False	5
158	क्रि	क्रि	7	False	4
159	क्री	क्री	1	False	4
160	क्लि	क्लि	1	False	4
161	क्श	क्श	2	False	3
162	क्ष	क्ष	22	False	3
163	क्षा	क्षा	9	False	4
164	क्षि	क्षि	3	False	4
165	क्षी	क्षी	2	False	4
166	क्षु	क्षु	2	False	4
167	क्षे	क्षे	3	False	4
168	क्ष्य	क्ष्य	1	False	5
169	क्स	क्स	2	False	3
170	ख	ख	29	False	1
171	खं	खं	3	False	2
172	खा	खा	20	False	2
173	खि	खि	2	False	2
174	खी	खी	4	False	2
175	खु	खु	2	False	2
176	खू	खू	1	False	2
177	खे	खे	3	False	2
178	खो	खो	3	False	2
179	ख्न	ख्न	1	False	3
180	ख्य	ख्य	0	False	3
181	ख्या	ख्या	5	False	4
182	ख्यि	ख्यि	1	False	4
183	ग	ग	78	False	1
184	गं	गं	1	False	2
185	ग़	ग़	2	False	2
186	गा	गा	26	False	2
